,0,1,2
0,424,4076,993.0
1,1311,1574,957.0
2,1671,410,146.0
3,997,1686,1417.0
4,1422,2304,159.0
5,121,1928,93.0
6,168,117,496.0
7,574,1057,374.0
8,833,594,5786.0
9,110,940,265.0
10,848,344,298.0
11,86,675,249.0
12,976,42,5.0
13,686,769,1986.0
14,1660,3273,3.0
15,1850,931,1517.0
16,769,2318,62.0
17,116,1889,248.0
18,1001,4084,890.0
19,1768,2250,246.0
20,1832,2878,502.0
21,314,588,450.0
22,1746,299,1977.0
23,1259,911,210.0
24,275,484,166.0
25,829,730,108.0
26,920,111,4.0
27,417,2358,5439.0
28,107,745,538.0
29,782,4042,20.0
30,509,3343,313.0
31,1489,673,919.0
32,768,961,24.0
33,1288,1305,477.0
34,817,2265,98.0
35,1649,631,74.0
36,381,2395,15.0
37,1039,385,106.0
38,953,102,277.0
39,1247,3613,725.0
40,561,1411,142.0
41,758,169,4.0
42,805,1188,295.0
43,1578,544,1524.0
44,1404,931,125.0
45,1080,231,327.0
46,845,3839,280.0
47,72,334,82.0
48,364,191,395.0
49,1314,169,304.0
50,377,2530,217.0
51,1732,2710,48.0
52,261,483,687.0
53,953,1247,181.0
54,621,445,491.0
55,40,902,301.0
56,1788,3639,581.0
57,1596,336,99.0
58,238,2759,668.0
59,309,690,314.0
60,1521,3377,99.0
61,1873,844,682.0
62,1081,494,103.0
63,995,3053,120.0
64,1424,1937,447.0
65,1486,1305,1009.0
66,919,42,213.0
67,457,824,175.0
68,698,720,556.0
69,314,3094,510.0
70,1773,1523,633.0
71,1072,1813,627.0
72,1514,991,401.0
73,245,1021,453.0
74,234,1541,910.0
75,1251,4391,73.0
76,378,791,52.0
77,1869,1648,2853.0
78,53,1060,461.0
79,59,1149,267.0
80,115,516,178.0
81,670,1394,380.0
82,1155,930,396.0
83,1704,438,102.0
84,1597,114,1978.0
85,392,828,314.0
86,1146,4330,1121.0
87,309,403,293.0
88,1880,790,352.0
89,709,293,98.0
90,984,3908,262.0
91,1889,2303,337.0
92,703,1523,799.0
93,757,186,201.0
94,1111,3825,170.0
95,1118,3311,13.0
96,664,1783,372.0
97,1643,2061,106.0
98,330,423,455.0
99,652,703,253.0
100,1083,297,460.0
101,1219,589,144.0
102,325,1321,485.0
103,1387,105,605.0
104,199,2556,98.0
105,1687,546,506.0
106,1054,131,999.0
107,1580,4162,131.0
108,431,1757,23.0
109,450,2927,119.0
110,1703,2313,74.0
111,1220,116,4.0
112,619,2127,184.0
113,401,2928,4695.0
114,1248,377,164.0
115,305,293,139.0
116,1817,42,43.0
117,1664,3574,195.0
118,1664,328,207.0
119,1609,149,313.0
120,525,2649,13061.0
121,1617,2153,306.0
122,1070,592,1809.0
123,1447,12,236.0
124,514,221,74.0
125,504,82,185.0
126,1802,754,484.0
127,277,2962,4.0
128,1639,771,431.0
129,513,3662,103.0
130,490,1909,3.0
131,735,185,293.0
132,379,184,1171.0
133,1350,2323,125.0
134,59,938,438.0
135,1426,240,314.0
136,1300,3725,623.0
137,938,1450,547.0
138,1490,550,1368.0
139,322,893,395.0
140,1472,2357,141.0
141,422,1097,26.0
142,96,1690,70.0
143,1548,51,150.0
144,767,805,87.0
145,935,1144,237.0
146,1286,953,906.0
147,1808,1808,1056.0
148,414,643,23.0
149,902,624,559.0
150,1363,1557,334.0
151,1626,1731,56.0
152,911,449,186.0
153,947,4299,31.0
154,1185,4046,475.0
155,1463,65,50.0
156,283,191,1991.0
157,1829,1984,351.0
158,230,2071,201.0
159,666,3262,161.0
160,1431,782,182.0
161,1218,351,72.0
162,1578,611,864.0
163,1497,403,494.0
164,496,1341,13006.0
165,1203,3113,325.0
166,970,3346,81.0
167,121,87,126.0
168,1744,2041,108.0
169,926,1863,12.0
170,29,704,88.0
171,918,167,92.0
172,526,2217,452.0
173,571,1222,2123.0
174,1258,334,22.0
175,1066,4380,16.0
176,1190,543,618.0
177,75,1441,107.0
178,1240,956,96.0
179,1013,301,1333.0
180,1714,674,2847.0
181,1182,4430,831.0
182,697,794,578.0
183,714,389,355.0
184,131,704,666.0
185,708,126,186.0
186,1397,996,218.0
187,278,765,601.0
188,1008,383,789.0
189,1010,1804,34.0
190,1451,1153,388.0
191,1002,1587,78.0
192,150,2127,2808.0
193,1252,141,1458.0
194,898,208,335.0
195,35,559,238.0
196,538,611,285.0
197,573,313,129.0
198,742,2546,100.0
199,242,1346,2.0
200,683,2382,40.0
201,121,1931,71.0
202,1389,2612,416.0
203,838,3320,31.0
204,1037,2850,17.0
205,1161,372,2633.0
206,296,1756,259.0
207,481,127,377.0
208,291,650,194.0
209,1554,401,103.0
210,350,470,118.0
211,1470,2109,381.0
212,61,531,100.0
213,778,3158,193.0
214,55,784,161.0
215,1056,1500,198.0
216,1328,611,124.0
217,1194,1562,242.0
218,155,2193,1337.0
219,1853,2854,567.0
220,1657,634,215.0
221,595,446,373.0
222,564,1677,721.0
223,269,2921,498.0
224,639,62,3443.0
225,1199,1034,81.0
226,848,468,552.0
227,190,841,169.0
228,1757,2446,265.0
229,157,2210,560.0
230,1092,4069,5009.0
231,864,1448,404.0
232,1640,2290,250.0
233,1381,181,240.0
234,1582,3775,495.0
235,906,828,203.0
236,957,683,592.0
237,1004,1996,643.0
238,1290,857,387.0
239,845,258,401.0
240,308,3075,1502.0
241,293,882,327.0
242,1146,1222,707.0
243,317,3100,385.0
244,359,824,156.0
245,1794,2658,55.0
246,1611,956,61.0
247,1318,179,313.0
248,137,2046,57.0
249,1441,1187,1430.0
250,1579,477,27.0
251,427,1110,169.0
252,261,1462,9796.0
253,190,597,78.0
254,489,3536,764.0
255,710,1241,269.0
256,1642,439,2.0
257,249,630,132.0
258,191,2015,138.0
259,1144,2429,146.0
260,401,648,4982.0
261,935,714,338.0
262,1380,242,1053.0
263,1256,2026,212.0
264,1452,963,126.0
265,188,307,496.0
266,923,272,56.0
267,938,329,432.0
268,976,177,20.0
269,795,512,396.0
270,661,1619,3.0
271,1047,901,879.0
272,1348,119,309.0
273,1397,546,184.0
274,976,2176,7.0
275,1749,2266,397.0
276,1519,1232,924.0
277,106,1392,3539.0
278,491,1818,385.0
279,1534,886,75.0
280,790,1538,1396.0
281,1333,4461,209.0
282,866,304,863.0
283,1005,42,70.0
284,1178,122,302.0
285,1419,176,472.0
286,875,866,621.0
287,1392,1260,387.0
288,283,325,7609.0
289,1844,122,104.0
290,1064,2879,1011.0
291,1539,500,27.0
292,1155,3202,563.0
293,1119,977,402.0
294,655,429,521.0
295,1644,192,87.0
296,863,2771,205.0
297,1652,1629,640.0
298,846,1034,338.0
299,542,848,508.0
300,1179,1020,69.0
301,1238,1564,815.0
302,813,3210,99.0
303,922,138,228.0
304,91,1647,125.0
305,525,444,1652.0
306,862,3411,107.0
307,1131,1683,275.0
308,728,1736,100.0
309,399,3389,420.0
310,1287,2151,311.0
311,1364,1473,18.0
312,216,1070,2.0
313,168,1068,657.0
314,1531,3378,74.0
315,1569,1969,691.0
316,83,511,1459.0
